DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2004-12,5.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-01,6.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-02,6.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-03,6.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-04,5.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-05,5.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-06,5.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-07,6.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-08,5.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-09,5.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-10,6.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-11,6.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2005-12,5.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-01,6.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-02,7.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-03,7.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-04,5.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-05,4.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-06,5.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2006-07,5.4,
